Test1,
"BReeeBeBBeeeBeRBeeBBeBBeRRReRReRRBRRBRBBRR,6,7,4",
"eeeeeeeeeeeeeeBeBReeeReRRReBBBBRReBBBRRBBR,6,7,0",
"eeeeeeeeeeeeeeBReeeeeBReRRReRReBRBeBRBRBBB,6,7,0",
"eeeeeRReeeeeRBeeeeeBBeeeeeRReBeReBBRRBRBRB,6,7,5",
"eeeeBBeeBeBRBeeReRBReRReRRBBRRBBRBRBBBRRRB,6,7,5",
"eeReReeeeBeBeeeeReReeeRReBeeRBBeBeRBRBRBBB,6,7,5",
"ReeeeeeReBeeeBBeReBeRReBeBeBReBeBeRRBRBRRB,6,7,6",
"RBBeBBRRRBeRBBBRReRRBRBBeRRRBBBRBBRRBBRRRB,6,7,1",
"RBeeBReRReeRBeRReeBBeBBeeRRBRRReBRBBRBBRBB,6,7,3",
"ReeeBeeBeeeReeReeeBeeBeeeBeeBeReRReRBBRRBB,6,7,5",
"eeBReeeeeRReeeBeRBeeRRBRBeRRRRBBeBRBBBRBRB,6,7,5",
"eeeeeeeeeeeeeeReeeeeeRRBeBBBBBReRRRBBRRBBR,6,7,0",
"BeeeeBBReeeeRRBeeBeBRRReBBBRRBeRRBBBRRBBRR,6,7,4",
"eeeeeeeeeeeeeeeeeRBRBeeeRRBReBeRBBBBRBBRRR,6,7,0",
"eeeBeeBeeeReeReBeBeeBRRBReeRRRRBeeBBBRBRRB,6,7,5",
"ReeeeeeBeeeeeeBReeeeeRBeeeeeRReReBeBBRRBBB,6,7,6",
"ReeeeBeBeReeBeBeBReReBeRReRBReRRRBBBBRBBBR,6,7,5",
"eeeeeeeBeeeeeeBeBBeeBBeBBReRBeBRRBRRRRBRRR,6,7,0",
"RReeeBeRBeeeBeRReeeRBBRBeRRBBBBeBRRBRBRRBB,6,7,4",
"ReeBeReBeeBeReBBeBeReRBBReBeBRRReBeRBRBRRR,6,7,4",
"eeeeeeeeeeeeeeReeeeeeRRReBBBRBRBRRRRBBBRBB,6,7,0",
"eeeeeeeeeeeeeeeeBBReeReBRBeeReRBBeBRRRBRRB,6,7,0",
"ReeRReeReeBBeeBeRRBReReRBBReBBRRRBeRBBRBBB,6,7,4",
"eeeeeeeeeeeeeeBeRReBBReRRBBBBeRRBRBRBBBRRR,6,7,0",
"eeeReRReeeReBBReBBeBRBeRBeRBReBBeRBBRBRBRR,6,7,4",
"eBBReBReRRReBBeBRBeBBeRBReRReBRBBRRRBBBRRR,6,7,2",
"eeeeeeBBeeeeeRRReReeRRReBeBBBBeBBRRRRBRBBR,6,7,6",
"eeeeeeeeeeeeeeeeeeeeeeReReeeeBBBReeRBRRBBR,6,7,7",
"eeeeeeeeeeeeeeeReeRReeBeBRRBRBBRBRBBRBBRRB,6,7,0",
"eeeeeeeeeeeeeeeeRBeeeeeBBeeeBBRRReRBRBRBRB,6,7,0",
"eeeeeeReeeeeRBeeeeRRBeeeeBBReeRBRBBRBRBRBB,6,7,6",
